epoch,loss,acc,test_acc,f1
0,0.8431568181818179,0.5679,0.6852590909090908,0.4301159090909092
1,0.6538454545454546,0.7564840909090911,0.7603181818181817,0.6135340909090907
2,0.6258499999999999,0.7313409090909091,0.7796431818181816,0.6544113636363635
3,0.6572159090909092,0.7060636363636366,0.7824090909090909,0.6606863636363637
4,0.5566066666666667,0.7828533333333334,0.7878266666666669,0.6714066666666665
5,0.546018181818182,0.7840545454545452,0.7846568181818181,0.6675886363636363
6,0.511375,0.7986181818181816,0.7852272727272727,0.6669727272727274
7,0.5111704545454546,0.7975954545454544,0.7872772727272725,0.6739590909090909
8,0.47072045454545464,0.8210909090909091,0.7920954545454545,0.684034090909091
9,0.48806888888888883,0.7977288888888887,0.7870844444444446,0.6749866666666665
10,0.8431568181818179,0.5679,0.6852590909090908,0.4301159090909092
11,0.6538454545454546,0.7564840909090911,0.7603181818181817,0.6135340909090907
12,0.6258499999999999,0.7313409090909091,0.7796431818181816,0.6544113636363635
13,0.6572159090909092,0.7060636363636366,0.7824090909090909,0.6606863636363637
14,0.5566066666666667,0.7828533333333334,0.7878266666666669,0.6714066666666665
15,0.546018181818182,0.7840545454545452,0.7846568181818181,0.6675886363636363
16,0.511375,0.7986181818181816,0.7852272727272727,0.6669727272727274
17,0.5111704545454546,0.7975954545454544,0.7872772727272725,0.6739590909090909
18,0.47072045454545464,0.8210909090909091,0.7920954545454545,0.684034090909091
19,0.48806888888888883,0.7977288888888887,0.7870844444444446,0.6749866666666665
20,0.4354113636363637,0.8342022727272724,0.793277272727273,0.683375
21,0.49806363636363654,0.788640909090909,0.7918909090909092,0.6787272727272726
22,0.40744318181818195,0.8129386363636363,0.7891045454545454,0.6794272727272728
23,0.4026045454545454,0.8320431818181819,0.7838227272727276,0.6696295454545453
24,0.44483999999999996,0.8197199999999998,0.7871244444444446,0.6782511111111111
25,0.3916250000000001,0.8355204545454545,0.7840499999999999,0.6722113636363638
26,0.38380227272727274,0.8367022727272727,0.7858954545454545,0.6771886363636365
27,0.3760249999999999,0.8497045454545457,0.7829136363636363,0.6674295454545455
28,0.3584909090909091,0.846709090909091,0.7916340909090912,0.6842727272727271
29,0.3406088888888889,0.8649333333333332,0.7867333333333332,0.6816955555555555
30,0.36653863636363637,0.8791931818181816,0.7850977272727273,0.6781977272727272
31,0.3382204545454545,0.8661590909090908,0.78145,0.6697613636363638
32,0.3318249999999999,0.8950863636363633,0.7797522727272729,0.6645909090909091
33,0.33075227272727276,0.8571386363636365,0.7817431818181817,0.6687113636363639
34,0.33676888888888884,0.8662866666666666,0.78082,0.6673511111111112
35,0.3205431818181818,0.8917522727272725,0.7845772727272727,0.6748818181818182
36,0.29843181818181824,0.8713636363636366,0.7797522727272728,0.6642727272727273
37,0.27345227272727274,0.8921477272727273,0.7809022727272729,0.6705431818181818
38,0.30990000000000006,0.8725227272727274,0.7798749999999999,0.666140909090909
39,0.3086688888888888,0.883442222222222,0.7822377777777779,0.6698222222222223
40,0.29457272727272743,0.8653863636363636,0.7823295454545455,0.6706363636363637
41,0.31499090909090904,0.8985886363636365,0.7867454545454546,0.6774022727272727
42,0.2503909090909091,0.9058181818181819,0.784125,0.6724431818181817
43,0.2828068181818183,0.8956499999999997,0.7847022727272727,0.6735340909090908
44,0.30499999999999994,0.8626244444444446,0.783511111111111,0.6721844444444443
45,0.23192499999999994,0.934781818181818,0.7887,0.6811840909090909
46,0.2802477272727272,0.8717431818181819,0.7932318181818183,0.6880999999999999
47,0.24247500000000002,0.903806818181818,0.7888227272727275,0.6734454545454546
48,0.24211363636363642,0.9253272727272727,0.7820795454545454,0.6729318181818181
49,0.21922444444444436,0.9267844444444443,0.7824333333333333,0.6702644444444443
50,0.20415909090909093,0.9259090909090912,0.7876386363636366,0.6812568181818182
51,0.22800227272727278,0.9112727272727273,0.7822636363636363,0.6655090909090906
52,0.2373045454545455,0.8955113636363637,0.7834363636363636,0.6703045454545454
53,0.21695454545454548,0.9246545454545454,0.7851181818181817,0.6769204545454547
54,0.2265511111111111,0.9112911111111109,0.7832911111111112,0.6741555555555557
55,0.21697272727272726,0.9241886363636365,0.7829636363636364,0.6709204545454543
56,0.2216636363636363,0.9325068181818182,0.7843977272727272,0.6779136363636363
57,0.24319090909090912,0.9115909090909091,0.7860750000000002,0.6832840909090908
58,0.21257272727272722,0.9134727272727271,0.7859363636363635,0.6820386363636366
59,0.21597555555555556,0.9188866666666666,0.7884177777777778,0.682457777777778
